date,revision,mean_232,mean_301,mean_ieepa,mean_fentanyl,mean_s122,mean_other,etr_232,etr_301,etr_ieepa,etr_fentanyl,etr_s122,etr_other
2025-01-01,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-02,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-03,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-04,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-05,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-06,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-07,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-08,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-09,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-10,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-11,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-12,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-13,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-14,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-15,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-16,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-17,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-18,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-19,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-20,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-21,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-22,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-23,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-24,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-25,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-26,basic,0.22324669581573803,0.01185169787112123,0,0,0,0,0.003194905107001674,0.022199762967869754,0,0,0,0
2025-01-27,rev_1,0.2107453638918614,0.011188763390914748,0,0.011602323639741757,0,0,0.003194905107001674,0.022200325211514858,0,0.01336513826924986,0,0
2025-01-28,rev_1,0.2107453638918614,0.011188763390914748,0,0.011602323639741757,0,0,0.003194905107001674,0.022200325211514858,0,0.01336513826924986,0,0
2025-01-29,rev_1,0.2107453638918614,0.011188763390914748,0,0.011602323639741757,0,0,0.003194905107001674,0.022200325211514858,0,0.01336513826924986,0,0
2025-01-30,rev_1,0.2107453638918614,0.011188763390914748,0,0.011602323639741757,0,0,0.003194905107001674,0.022200325211514858,0,0.01336513826924986,0,0
2025-01-31,rev_1,0.2107453638918614,0.011188763390914748,0,0.011602323639741757,0,0,0.003194905107001674,0.022200325211514858,0,0.01336513826924986,0,0
2025-02-01,rev_2,0.2107453638918614,0.011188763390914748,0,0.011602323639741757,0,0,0.003194905107001674,0.022200325211514858,0,0.01336513826924986,0,0
2025-02-02,rev_2,0.2107453638918614,0.011188763390914748,0,0.011602323639741757,0,0,0.003194905107001674,0.022200325211514858,0,0.01336513826924986,0,0
2025-02-03,rev_2,0.2107453638918614,0.011188763390914748,0,0.011602323639741757,0,0,0.003194905107001674,0.022200325211514858,0,0.01336513826924986,0,0
2025-02-04,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-05,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-06,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-07,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-08,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-09,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-10,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-11,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-12,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-13,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-14,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-15,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
2025-02-16,rev_3,0.18902865092455493,0.010027889464448493,0,0.029780559936530837,0,0,0.0034066168995646683,0.022200325211514858,0,0.04688661159775351,0,0
